"","Short","Description","Code_snippet"
"30",30,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändande NUTS II region|Riktning","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|avsr|riktning"
"31",31,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändande NUTS II region|Riktning","T1102|varde|vardeki|vikt|viktki|ar|avgank|avsr|riktning"
"32",32,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändande NUTS II region|Till region|Till land|Riktning","T1102|varde|vardeki|vikt|viktki|ar|avgank|avsr|treg|tland|riktning"
"33",33,"Varuflöden|Värde i miljoner kr|Vikt i 1000 ton|År|Avgående/Ankommande|Från län|Till län|Riktning","T1102|varde|vikt|ar|avgank|flan|tlan|riktning"
"34",34,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Lasttyp|Riktning","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|lasttyp|riktning"
"35",35,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Mottagarland/-region|Riktning","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|mottland|riktning"
"36",36,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Mottagarland/-region|Riktning","T1102|varde|vardeki|vikt|viktki|ar|avgank|mottland|riktning"
"37",37,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Riktning|Varugrupp (NST)","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|riktning|nst"
"38",38,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Riktning|Varugrupp (NST)|Varuslag","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|riktning|nst|nst2"
"39",39,"Varuflöden|Värde i miljoner kr|Vikt i 1000 ton|År|Avgående/Ankommande|Till län|Riktning","T1102|varde|vikt|ar|avgank|tlan|riktning"
"40",40,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Riktning|Huvudsakligt trafikslag","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|riktning|main"
"41",41,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Riktning|Huvudsakligt trafikslag|Trafikslag","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|riktning|main|sub"
"42",42,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Till region|Riktning","T1102|varde|vardeki|vikt|viktki|ar|avgank|treg|riktning"
"43",43,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändande NUTS II region|Till region|Riktning","T1102|varde|vardeki|vikt|viktki|ar|avgank|avsr|treg|riktning"
"44",44,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Till region|Till land|Riktning","T1102|varde|vardeki|vikt|viktki|ar|avgank|treg|tland|riktning"
"45",45,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Startvägregion|Riktning","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|stvagr|riktning"
"46",46,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Huvudsakligt trafikslag","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|main"
"47",47,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Huvudsakligt trafikslag|Trafikslag","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|main|sub"
"48",48,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Startvägregion","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|stvagr"
"49",49,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Startvägregion","T1102|varde|vardeki|vikt|viktki|ar|avgank|stvagr"
"50",50,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Slutvägregion","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|slvagr"
"51",51,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Slutvägregion","T1102|varde|vardeki|vikt|viktki|ar|avgank|slvagr"
